분류,글귀
긍정적인 긍정적으로 긍정의 응원하는 응원하고 의욕이 의욕을 의욕없는 의욕상실 위로를 위로가,있는 그대로의 나라도 괜찮아.
용기를 용기가 성공을 성공하고 두려움을 두려움이 두려워서 실패가 실패를 실패하면 마음가짐이 마음가짐을 태도를 태도가,"용기는 우리를 성공으로 이끌고, 두려움은 우리를 실패로 이끈다."
용기를 용기가 성공을 성공하고 시작이 시작을 실천하는 실천을 실천이 태도를 태도가,신은 용기 있는 사람을 결코 버리지 않는다.
용기를 용기가 도전하는 도전하고 도전이 시작이 시작을 실천하는 실천을 실천이 실행하는 실행을 태도를 태도가,돈을 잃는 것은 가벼운 손실이고 명예를 잃는 것은 중대한 손실이다. 그러나 용기를 잃는 것은 보상 받을 수 없는 손실이다.
인생은 인생이 인생에서 희망을 희망이 희망 의욕이 의욕을 의욕없는 의욕상실 응원하는 응원하고 위로를 위로가,위대한 희망이 사그라지는 것은 해가 지는 것과 같다. 그것은 인생의 빛이 사라지는 것과 다름없다. 매일 희망이라는 태양이 떠오르게 하자.
행복을 행복이 행복해서 행복한 불행을 불행을 불행해서 불행하니까 불운 성장하는 성장한 성장이 성장을 위로를 위로가,커다란 행복을 느끼려면 큰 고통과 불행을 먼저 가져야 한다. 그렇지 않으면 이게 행복인지 어떻게 알겠는가.
불행을 불행을 불행해서 불행하니까 인생은 인생이 인생에서 삶을 삶이 행복을 행복이 행복해서 행복한 위로를 위로가,인생이라는 학교에는 불행이라는 훌륭한 스승이 있다. 그 스승 덕분에 우리는 더욱 단련된다.
노력하는 노력해서 노력을 노력이 실천하는 실천을 실천이 실행하는 실행을 인생은 인생이 인생에서 시작이 시작을,내 인생의 방해자는 언제나 나 자신이었다.
긍정적인 긍정적으로 긍정의 부정적 고민을 고민이 불안한 불안해서 불안감을 불안감이 걱정을 걱정이 걱정되는,"나는 왜 되는 일이 없을까?' 살면서 자주 이런 고민을 한다. 그런데 생각해보면 되는 일이 없었던 것이 아니라, 되게 한 일이 없었다는 것을 알 수 있다."
그리움이 그리움을 그리워서 그리워 그립고 그리운 진심으로 진심은 진심이 인간관계에서 인간관계는,"이유 없이 안기고 싶을 때가 있는 것처럼, 가끔은 마음이 통하는 사람이 그립다."
실천하는 실천을 실천이 실행하는 실행을 행동하는 행동을 계획은 계획을 계획이 노력하는 노력해서 노력을 노력이,"생각만 하는 사람의 삶은 스스로 공부하는 삶에 비하면 사소하고, 보이지 않는 것을 보기 위해 발돋움하고 바라보는 일은 실제로 올라가 바라보는 것만 못하다."
인생은 인생이 인생에서 의지가 의지를 의지박약인 의욕이 의욕을 의욕없는 의욕상실 마인드를 마인드가 마인드로,"뜻은 높은 곳에, 마음은 낮은 곳에 두라."
두려움을 두려움이 두려워서 불안한 불안해서 불안감이 고민이 걱정을 걱정이 걱정되는 의지가 의지를 의지박약인,"다가오는 두려움을 피하지 않고, 찬찬히 섬세하게 들여다볼 수 있다면, 어떤 거친 흐름 앞에서도 당당할 수 있다."
배움을 배움이 배워서 배우는게 인간관계에서 인간관계는 인생은 인생이 인생에서 삶을 삶이,"한 사람만 만나도, 자연의 한 풍경만 스쳐도, 우리가 존경할 것이 가득하다."
실패가 실패를 실패하면 도전하는 도전하고 도전이 용기를 용기가 의욕이 의욕을 의욕없는 의욕상실,실패란 인생이라는 여정에서 단지 게임에서 한 판 진 것일 뿐. 다시 일어서서 즐기자.
위로를 위로가 의욕이 의욕을 의욕없는 의욕상실 의지가 의지를 의지박약인 마인드를 마인드가 마인드로,세상에 아프지 않은 사람은 없다. 단지 덜 아픈 사람이 위로할 뿐이다.
마음이 마음을 마음가짐이 마음가짐을 마음상태가 마음상태를,내 기분이 좋으면 세상이 좋아보이는 것이다. 어찌 보면 세상은 내 마음의 눈만큼 보이는지도 모른다.
행동하는 행동을 증명 실천하는 실천을 실천이 실행하는 실행을 태도를 태도가 말보다,말하지 말고 행동하세요. 말하지 말고 보여주세요. 약속하지 말고 증명하세요.
마음이 마음을 아픈 아파서 아프고 슬픈 슬퍼서,늘 태평해 보이는 사람도 마음의 밑바닥을 둘러보면 어디에선가 슬픈 소리가 난다. 나쓰메 소세키
행복을 행복이 행복해서 행복한 불행을 불행을 불행해서 불행하니까 행운을 행운이 극복하고 극복하는 괴로워서,행복만을 추구하는 마음이 비극을 불러들입니다. 행복은 슬픔과 괴로움을 극복한 마음이 만들어내는 것입니다. 마하트마 간디
삶을 삶이 인생은 인생이 인생에서 방향을 방향이 꾸준히 꾸준하게 의지가 의지를 의지박약인,삶이란 끝없이 옆길로 새는 것이다. 원래 어디로 향하려 했는지 돌아보는 것조차 허용되지 않는다. 프란츠 카프카
참고 참는 의지가 의지를 의지박약인 노력하는 노력해서 노력을 노력이 경험이 경험을 경험해서 경험하고 치유,고뇌는 그것을 처음부터 끝까지 모조리 경험해야만 치유된다. 마르셀 프루스트
위로 용기를 용기가 의욕이 의욕을 의욕없는 의욕상실 저하되는 저하되어,모두가 이기는 것이 좋다는 말을 들어왔다. 하지만 나는 이렇게 말하고 싶다. 지는 것도 좋다고. 윌터 휘트먼
절망적인 불운이 불행을 불행이 불행해서 불행하니까 시작이 시작을 태도를 태도가,절망은 사람들이 절대적인 것을 찾아내기 위한 참된 출발점이다. 키르케고르
아픈 아파서 아프고 아픔 슬픈 슬퍼서 슬픔이 버티고 버텨 버티는 견디고 견뎌서 견디는,모든 슬픔은 그것을 이야기로 만들거나 그것에 대해 이야기 할 수 있다면 견뎌질 수 있다. 이자크 디녜센
환경이 배경이 어둡고 어두워 캄캄한 캄캄하고 의지가 의지를 의지박약인 노력하는 노력해서 노력을 노력이,깨끗한 것은 언제나 더러운 것 속에서 생겨나며 눈부시게 빛나는 것은 언제나 어둠 속에서 생겨난다. 채근담
목표가 목표를 목표설정이 목표설정을 의욕이 의욕을 의욕없는 의욕상실 도전하는 도전하고 도전이,목표가 확실한 사람은 아무리 거친 길에서도 앞으로 나갈 수 있지만 목표가 없는 사람은 아무리 좋은 길이라도 앞으로 나갈 수 없다. 토머스 칼라일
도전하는 도전하고 도전이 의욕이 의욕을 의욕없는 의욕상실 용기를 용기가 실행하는 실행을 실천하는 실천을 실천이,나는 항상 내가 할 수 없는 것을 한다. 그렇게 하면 할 수 있게 되기 때문이다. 파블로 피카소
고민을 고민이 진실을 진실이 진실은 거짓을 거짓이 거짓은,어떻게 말할까'하고 괴로울 때는 진실을 말하라. 마크 트웨인
자기애가 자기애를 자기애는 자기만족을 자기만족이 자기만족해서 믿는 믿어서 믿는데 믿고 마인드를 마인드가 마인드로,자신을 향해 웃는 것은 살면서 배워야 할 가장 중요한 능력이다. 캐서린 맨스필드
열정이 꾸준히 꾸준하게 의지가 의지를 의지박약인 노력하는 노력해서 노력을 노력이,정열은 강이나 바다와 비슷하다. 얕은 것은 소리를 내지만 깊은 것은 침묵을 지킨다. 알베르 카뮈
일상 노력하는 노력해서 노력을 노력이 꾸준히 꾸준하게 계속 변화가 변화를 변화하는 변화하고 작은,큰 변화를 꿈꿀 때 일상의 작은 변화들을 결코 무시해서는 안된다. 일상의 작은 변화들이 쌓여 전혀 예기치 못한 큰 변화가 이루어진다. 라이트 이델먼
능숙 즐거 열심 방향을 방향이 노력하는 노력해서 노력을 노력이 결과를 결과가,일에서 즐거움의 비밀은 '탁월함'이라는 단어에 담겨 있다. 어떤 것을 능숙하게 해내는 방법을 아는 것이 그 일을 즐기는 길이다. 펄벅
도전하는 도전하고 도전이 용기를 용기가 의욕이 의욕을 의욕없는 의욕상실 의지가 의지를 의지박약인,당신의 꿈이 단 한 번도 실현되지 않았다고 해서 스스로 안타깝고 서글프게 생각해서는 안된다. 정말 안타깝고 서글픈 일은 한 번도 꿈을 꾸어보지 않았던 사람들이기 때문이다. 에센 바흐
준비 꿈을 꿈이 용기를 용기가 의욕이 의욕을 의욕없는 의욕상실 의지가 의지를 의지박약인 태도를 태도가,창공을 나는 새도 날개를 접어야 다시 힘을 길어 날 수 있다.
인내 참는 의지가 의지를 의지박약인 노력하는 노력해서 노력을 노력이 열정 꾸준히 꾸준하게,어떤 위대한 일도 하루 아침에 이루어지지 않는다. 에피테토스
마인드를 마인드가 마인드로 생각 태도를 태도가 마음 마음가짐이 마음가짐을 성공을 성공하고,우리가 무슨 생각을 하느냐가 우리가 어떤 사람이 되는지를 결정한다. 오프라 윈프리
이겨내 고통 불운 불행을 불행을 불행해서 불행하니까 마음 마음가짐이 마음가짐을 태도를 태도가,"세상은 고통으로 가득 차 있지만, 한편 그것을 이겨내는 일로도 가득 차 있다. 헬렌 켈러"
의욕이 의욕을 의욕없는 의지가 의지를 의지박약인 용기를 용기가 도전하는 도전하고 마음 마음가짐이 마음가짐을,"사람들은 의욕이 끝까지 가질 않는다고 말한다. 뭐 목욕도 마찬가지 아닌가. 그래서 매일 하는거다. 목욕도, 동기부여도. 지그 지글러"
실천하는 실천을 실천이 의욕이 의욕을 의욕없는 의욕상실 변화가 변화를 변화하는 변화하고 성장하는 성장한,엄청난 행동량은 내가 직접 통제할 수 있는 유일한 것이다.
마인드를 마인드가 마인드로 생각 태도를 태도가 마음 마음가짐이 마음가짐을 역경 이겨내,역경의 시기에도 내 행동만은 내가 좌우할 수 있다.
실천하는 실천을 실천이 의욕이 의욕을 의욕없는 의욕상실 변화가 변화를 변화하는 변화하고 성장하는 성장한,당신의 행동력은 성공 가능성을 결정하는 중요한 요소다.
버티 버팀 버틸 고통 노력하는 노력해서 노력을 노력이 인내 꾸준히 꾸준하게 의지가 의지를 의지박약인,"고통의 시간은 결국 지나가며, 버팀의 시간은 결코 배신하지 않는다. 이광형"
동기부여 동기 습관 태도를 태도가 의욕이 의욕을 의욕없는 의욕상실 인내,동기부여가 시동을 걸고 습관은 계속 가는 추진력이다. 짐 론
인생은 인생이 인생에서 삶을 삶이 위로 용기를 용기가 태도를 태도가 의욕이 의욕을 의욕없는 의욕상실,인생은 혼자서 만드는 프로젝트라는 사실을 깨닫게 되는 데에 반평생이 걸린다. 나폴레온 힐
진지 열정 노력하는 노력해서 노력을 노력이 꾸준히 꾸준하게 인내 성공을 성공하고 버티 버팀,"아무리 뛰어나고 치밀한 각본을 쓴들, 그 내용을 현실로 만들고 싶다면 진지한 열의가 필요하다는 사실을 기억하라."
두려움을 두려움이 두려워서 불안한 불안해서 고민을 고민이 걱정을 걱정이 걱정되는 의욕이 의욕을 의욕없는,위대한 것으로 향하기 위해 좋은 것을 포기하는 것을 두려워하지마라. 존 록펠러
노력하는 노력해서 노력을 노력이 이겨내 성취 꾸준히 꾸준하게 인내 용기를 용기가 위로,이전에 한 번도 성취한 적이 없는 것을 성취하려면 이전에 한 번도 되어본 적이 없는 사람이 되어야 한다. 레스 브라운
행동하는 행동을 믿는 믿어서 믿는데 믿고 실천하는 실천을 실천이 실행하는 행동하는 행동을 용기를 용기가,삶에서 가장 중요한 것은 행동이다. 무언가를 더 일관적으로 행동에 옮길수록 자신을 더 믿게 될 것이다.
타이밍이 타이밍을 타이밍은 최적의 지금 당장 계획은 계획을 계획이 용기를 용기가,"완벽한 시기나 완벽한 계획, 완벽한 순간이란 존재하지 않는다. 지금이 바로 최적의 시기이다."
실천하는 실천을 실천이 실행하는 실행을 두려움을 두려움이 두려워서 불안한 불안해서 고민을 고민이,새로운 미래를 원한다면 그 미래에 걸맞게 행동하라. 아무리 두려워도 그냥 시작하라.
꾸물거리는 꾸물거려서 망설이는 망설이고 망설일때 망설이게 실행을 실천하는 실천을 행동하는 행동을,성공하지 못한 사람들의 한 가지 공통점은 꾸물거린다는 사실입니다. 누가 불러도 벌떡 일어나서 달려나오는 일이 없습니다. 망설이고 꾸물거리다 끝나는거예요. 정채봉
애쓰는 애쓰고 애쓴 자기만족을 자기만족이 자기만족해서 불안한 불안해서 불안감을 불안감이 걱정을 걱정이 걱정되는,"오늘의 일은 오늘의 일로 충분하다. 너, 너무도 잘하려고 애쓰지 마라. 나태주"
실수해서 실수를 불안한 불안해서 불안감을 불안감이 걱정을 걱정이 걱정되는 의욕이 의욕을 의욕없는 의욕상실,가끔은 실수하고 서툴러도 너는 사랑스런 사람이란다. 나태주
과거를 의욕이 의욕을 의욕없는 의욕상실 걱정을 걱정이 걱정되는 불안한 불안해서 불안감을 불안감이 새출발을,비록 아무도 과거로 돌아가 새 출발을 할 수는 없지만 누구나 지금 시작해서 새로운 엔딩을 만들 수는 있다.
걱정을 걱정이 걱정되는 불안한 불안해서 불안감을 불안감이 의욕이 의욕을 의욕없는 희망을 희망이 희망은,걱정마세요. 지금의 나는 할 수 없을지 몰라도 내일의 나는 할 수 있으니까요. 김영조
희망을 희망이 희망은 포기하고 포기하지 응원하고 위로를 위로하는 위로가,포기하지 말라 저 모퉁이만 돌면 희망이란 녀석이 기다리고 있을지도 모른다. 사이토 시게타
희망을 희망이 희망은 포기하고 포기하지 응원하고 위로를 위로하는 위로가,뭔가를 할 수 없다고 말하는 사람이 있는가 하면 그것을 하는 사람이 있다. 애런 코헨
역경이 역경을 시련이 시련을 극복을 극복하고 극복하는 희망을 희망이 희망은 참고 참는 끈기있게,성공은 어려움이나 실패가 없는 상태가 아니라 역경과 시련을 극복해낸 상태를 말한다. 김주환
행복하고 노력하는 노력해서 노력을 노력이 끈기있게 끈기를 끈기가 희망을 희망이 희망은 도저히,"행복은 더 가졌을 때가 아니라, 현명하게 포기할 때 찾아오는거야."
후회하는 후회하고 후회해서 아쉬워서 아쉬운 태도를 태도가 응원하는 응원하고 위로를 위로하는,지나간 일을 떠올리지 말 것. 이미 일어난 일들을 후회하지 말 것. 바꿀 수 없는 것들을 아쉬워하지 말 것. 김수민
아픔 아픈 아파 캄캄한 캄캄하고 어둡고 어두워 어두워서 희망을 희망이 희망 응원하는 응원하고,고장 난 건 고쳐지고 아픔은 치유됩니다. 그리고 아무리 어두워도 태양은 다시 떠올라요.
마인드를 마인드가 마인드로 마음가짐으로 마음가짐이 마음가짐을 태도를 태도가 응원하는 응원하고 위로를 위로하는,중요한 것은 외부 사건이 아닌 나 자신의 마음이다. 이것만 기억한다면 다시 힘을 낼 수 있다.
결과를 결과가 끈기있게 꾸준히 꾸준하게 노력하는 노력해서 노력을 노력이 버티 열정을 열심히,결과는 하룻밤이 아니라 시간이 지나면 나타납니다. 열심히 일하고 일관성을 유지하고 인내하세요.
방법을 방법이 태도를 태도가 마인드를 마인드가 마인드로 마음 마음가짐이 마음가짐을 방향을 방향이,"짊어지는 무게가 아닌, 짊어지는 방법이 중요해요."
의지가 의지를 의지박약인 의욕이 의욕을 의욕없는 의욕상실 위로를 위로하는 실행하는 실행을,아무것도 바뀌지 않는다고 해도 당신은 무언가를 선택하고 있다.
위로를 위로하는 응원하는 응원하고 의욕이 의욕을 의욕없는 의욕상실 동기 동기부여 불안한 불안해서 불안감을 불안감이,사람들에게는 저마다의 바다가 있고 사람에게는 저마다의 파도가 있기 마련이지.
위로를 위로하는 응원하는 응원하고 의욕이 의욕을 의욕없는 의욕상실 동기 동기부여 불안한 불안해서 불안감을 불안감이,우리는 한낱 사람이라서 일렁였고 고작 사람이었기 때문에 글썽일 수 밖에 없는거야. 김민준
자신감 마인드를 마인드가 마인드로 마음 마음가짐이 마음가짐을 태도를 태도가 의욕이 의욕을 의욕없는 의욕상실,일단 자신감을 가장하는 데 능숙해지면 자신감있는 신체 언어 때문에 뇌가 정말로 자신감을 느끼게 된다.
자신감 마인드를 마인드가 마인드로 마음 마음가짐이 마음가짐을 태도를 태도가 의욕이 의욕을 의욕없는 의욕상실,스스로 멋져보인다고 생각하면 다른 사람들도 그런 분위기를 알아차리고 가던 길을 멈추고 돌아본다.
포커페이스가 포커페이스를 포커페이스로 마인드를 마인드가 마인드로 마음가짐이 마음가짐을 마음가짐으로 의욕이 의욕을 의욕없는 의욕상실,무표정한 얼굴에 감정을 감추고 있다고 생각할 때도 내면의 감정은 여전히 밖으로 새어나간다. 그러므로 내면의 감정 자체를 좋게 유지해야한다.
세월이 세월은 연륜이 연륜을 인생은 인생이 인생에서 마음가짐이 마음가짐을 마음가짐으로 마인드를 마인드가 마인드로,세월에 저항하면 주름이 생기고 세월을 받아들이면 연륜이 생긴다. 박웅현
당장 순간이 순간순간이 행복을 행복이 행복해서 행복한 마인드를 마인드가 마인드로 마음가짐이 마음가짐을,언젠가는'이라는 환상에 속지 마라. 뇌가 행복을 느낄 수 있는 건 '지금 이 순간'뿐이다. 더 큰 행복이 언젠가 오는 게 아니다. 작아도 지금 이 순간의 행복을 느껴야 한다. '행복은 구하는 것이 아니라 발견하는 것이다' 이시형
자신감을 자신감이 마인드를 마인드가 마인드로 마음가짐이 마음가짐을 태도를 태도가 의욕이 의욕을 의욕없는 의욕상실,삶은 자신을 찾는 일이 아니라 자신을 만드는 일이다.
창작을 창작은 창작의 쉬고 불안한 불안해서 불안감을 불안감이 걱정을 걱정이 걱정되는 고민을 고민이,창조는 '쉼'의 순간에 터진다.
무기력한 무기력해서 의욕이 의욕을 의욕없는 의욕상실 실행하는 실행을 도전하는 도전하고 도전이 응원하는 응원하고,의욕은 행동의 필수조건이 아니다. 의욕이 있건 없건 움질일 수 있고 움직이다 보면 의욕이 생긴다. 무기력에서 벗어나는 가장 좋은 방법은 생각을 멈추고 일단 무작정 움직이는 것이다.
소소한 사소한 행복을 행복이 행복해서 행복한 불행을 불행을 불행해서 불행하니까,행복은 '강도'가 아니라 '빈도'에 있다.
희망을 희망이 희망은 포기하는 포기하고 응원하는 응원하고 위로를 위로하는 절망적인 좌절감이,소원이 이루어진다는 희망만 품어도 뇌 속에서는 벌써 행복 물질이 분비된다.
부정적인 부정적으로 고민을 고민이 걱정을 걱정이 걱정되는 불안한 불안해서 불안감을 불안감이 잡생각이 잡생각을,사람은 하루에 6만 가지 생각을 하는데 그중 95%가 그 전날 혹은 그 전전날에 했던 생각이다. 그리고 그중 80%가 부정적인 생각이다.
행복한 불행을 불행을 불행해서 불행하니까 실패가 실패를 실패하면 마인드를 마인드가 마인드로 마음가짐이 마음가짐을,행복과 불행은 같은 지붕밑에 살고 있으며 성공의 옆방에 실패가 살고 있다.
목적을 목적이 운명을 목적의식을 목적의식이 인생은 인생이 인생에서 삶을 삶이,목적이 없으면 삶의 많은 것들이 우연에 그치지만 목적이 있으면 우리는 그것을 숙명으로 맞이할 수 있다.
행복을 행복이 행복해서 행복한 불행을 불행을 불행해서 불행하니까 응원하는 응원하고 동기가 동기를,성공이 행복의 열쇠가 아니라 행복이 성공의 열쇠다. 슈바이처
인간관계를 인간관계가 인간관계에서 방법을 방법이 방향을 방향이 인생은 인생이 인생에서,떨어져 있을 때의 추위와 붙으면 가시에 찔리는 아픔 사이를 반복하다가 결국 우리는 적당히 거리를 유지하는 법을 배우게 된다. 쇼펜하우어
인간관계를 인간관계가 인간관계에서 방법을 방법이 방향을 방향이 인생은 인생이 인생에서,불을 대하듯 사람을 대하라. 타지 않을 정도로 다가가고 얼지 않을 정도로 떨어져라. 존 F. 케네디
인생은 인생이 인생에서 용기를 용기가 의욕이 의욕을 의욕없는 노력하는 노력해서 노력을 노력이,짐을 덜어달라고 빌기보다는 강한 어깨를 달라고 기도하라. 어거스턴
자유 이겨내 이겨낼 마인드를 마인드가 마인드로 마음가짐이 마음가짐을 태도를 태도가,자유에 대한 가장 그릇된 생각은 장애를 벗어나서 자유로워지는 것이다. 알랭 드 보통
무모한 무모하게 성실히 노력하는 노력해서 노력을 노력이 의지가 의지를 의지박약인,머리만 좋다고 모두 대단한 업적을 내는 건 아니다. 섬광처럼 빛나는 천재성보다 성실함과 약간의 무모함이 때로 더 큰 빛을 낸다. 최재천 교수의 조선일보 칼럼 중
시작이 시작을 용기를 용기가 당장 지금 망설이는 망설이고 망설일때 망설이게 실행하는 실행을 실천하는 실천을 실천이 행동하는 행동을,고민은 어떤 일을 시작했기 때문에 생기기보다 일을 할까 말까 망설이는 데서 주로 비롯된다. 버드런드 러셀
시작이 시작을 용기를 용기가 당장 지금 망설이는 망설이고 망설일때 망설이게 실행하는 실행을 실천하는 실천을 실천이 행동하는 행동을,"나는 내 인생의 마지막 순간에 지나온 세월을 되돌아보면서 이렇게 말하리라는 것을 알고 있다. '젠장, 더 많은 행동을 취했어야 하는데...' 다이애나 본 웰라네츠"
자기애가 자기애를 자기애는 자기만족을 자기만족이 자기만족해서 마인드를 마인드가 마인드로,자신을 향해 웃는 것은 인생을 살면서 대단히 중요한 능력이다. 캐서린 맨스필드
지혜롭게 지혜로운 현명한 현명해서 마인드를 마인드가 마인드로 마음가짐이 마음가짐을 용기를 용기가 응원하는 응원하고,지식을 얻으려면 하나씩 더 쌓으라. 지혜를 얻으려면 매일 하나씩 버려라. 노자
사랑하는 사랑이 사랑은 이별을 이별하고 이별했는데 이별이 헤어져서 헤어지고 헤어진 헤어져,전부를 걸 수 있을 만한 사람이 나타났다면 사랑을 시작하라. 긴 인생에서 잘난 당신이 조급해 할 것이 뭐가 있나.
행동하는 실천하는 실천을 두려워서 두려움을 두려움이 두려워서 불안한 불안해서 불안감을 불안감이 고민을 고민이,죽음을 두려워하지 말라. 우리가 살아 있을 때 죽음은 없고 죽음이 닥쳤을 때 우리는 없다. 에피쿠로스
부지런히 부지런하지 부지런한 부지런하게 게으른 게으름 게으른 실패가 실패를 실패하면 도전하는 도전하고 도전이,번거로움에서 벗어나는데는 고요함만 한 것이 없고 졸렬함을 벗어나는 데는 부지런함만 한 것이 없다. 퇴계 이황
실패가 실패를 실패하면 도전하는 도전을 용기를 용기가 노력하는 노력해서 노력을 노력이 끈기있게 끈기있는,모든 실패에는 1천가지 변명이 있지만 그럴싸한 이유는 한 가지도 없다. 마크 트웨인
사랑하는 사랑이 사랑은 마인드를 마인드가 마인드로 마음가짐이 마음가짐을 응원하는 응원하고 위로를 위로하는,사랑은 절대 오류와 실수가 없다. 모든 사랑의 실수는 사랑 부족에서 오기 때문이다. 윌리엄 로
인간관계를 인간관계가 인간관계에서 위로를 위로하는 사랑하는 사랑이 사랑은,어떤 새도 날개를 펴지 않고는 날 수 없다. 인간도 마음을 드러내지 않고는 사랑할 수 없다. 마크 네포
사랑하는 사랑이 사랑은 인간관계를 인간관계가 인간관계에서 위로를 위로하는,언젠가 미워지리라는 생각으로 사랑하라. 언젠가는 사랑하리라는 생각으로 미워하라.
추억은 추억이 추억하는 기억에 기억하는 후회하는 후회하고 후회해서 지난날에 지난날의 과거의 과거에 과거는,"위로의 대부분은 과거에서 온다. 과거의 어느 기억, 한 지점에서 우리는 한없이 착해진다."
도전하는 도전하고 도전이 용기를 용기가 추진 삶을 삶이 인생은 인생이 인생에서 끈기 의지가 의지를 의지박약인,궁지에 몰린 마음을 밥처럼 씹어라. 어차피 삶은 너가 소화해야 할 것이니까. 천양희
마음가짐이 마음가짐을 마음상태 상태 마인드를 마인드가 마인드로 응원하는 응원하고,마음에 따르지 말고 마음의 주인이 되어라.
행동하는 행동을 실천하는 실천을 실천이 의욕이 의욕을 의욕없는 의욕상실 변화가 변화를 변화하는 변화하고 성장하는 성장한 성장이 성장을 실행하는 실행을 태도를 태도가 성공을 성공하고,완벽보다 실행이 낫다.
중요한 사람 관계 인간관계를 인간관계가 인간관계에서 이순간 인생은 인생이 인생에서,세상에서 가장 중요한 때는 지금 이 순간이고 가장 중요한 사람은 지금 함께 있는 사람이고 가장 중요한 일은 내 곁에 있는 사람을 위해 좋은 일을 하는 것이다. 톨스토이
인간관계를 인간관계가 인간관계에서 마음을 마음이,"토끼를 잡으려면 귀를 잡아야 하고, 고양이는 목덜미를 잡아야 한다. 사람을 잡으려면 마음을 잡아야 한다."
자기애가 자기애를 자기애는 자기만족을 자기만족이 자기만족해서 마인드를 마인드가 마인드로,"재능을 어떻게 생각하느냐에 따라 달라진다고 생각해요. 이 그림으로 누군가에게 감동을 준다면 그것도 재능이지만, 자기가 하는일을 통해 행복할 수 있다면 그것도 재능이거든요. 스스로 행복할 수 있는 능력."
집중해서 집중을 포기하지 포기하면 포기할 끈기있게 끈기있는 의지가 의지를 의지박약인 의욕이 의욕을 의욕없는,포기하는 것은 도망치는 것이 아니라 '선택과 집중'을 하는 것을 말한다.
도전하는 도전하고 꾸준히 꾸준하게 실패가 실패를 실패하면 실천하고 실천을 행동하는 행동을 용기를 용기가,당신에게 지금 실패가 있다면 감격해도 좋다. 꾸준히 무엇인가에 도전하고 있다는 증거기 때문이다.
겸손하게 겸손한 절망적인 위로를 위로하는 용기를 용기가 우울한 우울해서 우울함이 슬프고 슬퍼서 슬픈,가진 것보다 과한 칭찬이 오면 내것이 아니니 기뻐하지 말라. 또 과한 비난이 오더라도 역시 내것이 아니니 흔들리지 말라.
강점을 강점이 장점이 장점을 단점을 단점이 행복한 행복하고 축복을 축복이 긍정적인 긍정적으로 긍정의,자신의 약점이 아닌 강점에 집중하세요. 자신의 평판이 아니라 성격에 집중하세요. 자신의 불행이 아니라 축복에 집중하세요. 로이 T. 베넷
행동하는 행동을 실천하는 실천을 실천이 두려움을 두려움이 두려워서 불안한 불안해서 불안감을 불안감이 고민되는,누군가가 나에게 꽃을 가져다줄 때까지 기다리지 마세요. 당신만의 정원을 만들고 당신만의 영혼을 가꾸세요. 오쇼
입조심을 입조심하고 입조심하는 입조심해야 말조심을 말조심하고 말조심하는 말조심해야,질병은 입을 쫓아 들어가고 화근은 입을 쫓아 나온다. 태평어람
입조심을 입조심하고 입조심하는 입조심해야 말조심을 말조심하고 말조심하는 말조심해야,지혜는 듣는 데서 오고 후회는 말하는 데서 온다.
생각해서 생각하는 생각을 생각은 생각이 마음가짐이 마음가짐을 마음가짐으로 현명한 현명해서,말을 많이 하는 것과 말을 잘하는 것은 다르다.
권선징악을 권선징악에 선행을 도와줬다 도와주고 도와줬는데 도와줘서,"착한 일을 하는 사람에게는 하늘이 복을 주시고, 악한 일을 하는 사람에게는 하늘이 재앙을 주느니라. 공자 '명심보감'"
탐욕스런 탐욕을 탐욕이 욕심이 욕심을 욕심내서 욕심내어 욕심나서,탐욕은 일체를 얻고자 욕심내어서 도리어 모든 것을 잃어버린다. 몽테뉴
성실하게 성실히 진심으로 진심을,"백 권의 책에 쓰인 말보다, 한 가지 성실한 마음이 더 크게 사람을 움직인다. 프랭클린"
겸손한 겸손하게 처음부터 바닥부터 밑바닥부터,가장 높은 곳에 올라가려면 가장 낮은 곳부터 시작하라. 푸블릴리우스 시루스
건강을 건강이 건강하게 건강히 자기관리 운동을 운동 병원을 병원에 병원으로 약을 몸져누워 몸이,건강을 이기는 미(美)는 없다.
사람관리를 인간관계는 인간관계에서 인간관계를,힘으로써 사람을 복종시키지 말고 덕으로서 사람을 복종시켜라. 맹자
처세술이 처세술을 처세를 존경하는 존경심이 존경해서,타인에 대한 존경은 처세법의 제일 조건이다. 아미엘
타협하지 타협하는 타협했다 타협해서 두려워서 두려움에,"공포로 인해 타협하지 말 것이며, 남이 나에게 타협하는 것을 두려워하지도 말라. 케네디"
최선을 주어진 다하면,오늘 할 수 있는 일에 전력을 다하라. 그러면 내일에는 한걸음 더 진보한다. 뉴턴
집중해서 집중하면 집중하니까 집중할,햇빛은 하나의 초점에 모아질 때만 불꽃을 피우는 법이다. 벨
한결같은 한결같이 처음처럼 처음인 처음에는,끝을 맺기를 처음과 같이 하면 실패가 없다. 노자
희망을 희망이 희망으로 이루고싶은 이루고,좋은 희망을 품는 것은 바로 그것을 이룰 수 있는 지름길이다. 루터
다시는 기회는 한번뿐,오늘이라는 날은 두 번 다시 오지 않는다는 것을 잊지 말라. 단테
죄는 용서하고 용서하는 용서한다면 용서했다 용서했는데,"죄는 미워하고, 죄수는 사랑하라. Mohandas k. Gandhi"
사랑해서 헤어지고 헤어져서 헤어져 헤어진 헤어졌는데,사랑의 고통은 다른 어떠한 즐거움보다 달콤하다. John Dryden
