분류,글귀
사랑 마음 인간 관계 인간관계 위로,언젠가 미워지리라는 생각으로 사랑하라. 언젠가는 사랑하리라는 생각으로 미워하라.
추억 기억 후회 지난날 과거 위로 응원,"위로의 대부분은 과거에서 온다. 과거의 어느 기억, 한 지점에서 우리는 한없이 착해진다."
도전 용기 추진 삶 인생 끈기 의지,궁지에 몰린 마음을 밥처럼 씹어라. 어차피 삶은 너가 소화해야 할 것이니까. 천양희
마음 마음가짐 마음상태 상태 마인드 응원,마음에 따르지 말고 마음의 주인이 되어라.
행동 실천 의욕 변화 성장 실행 태도 성공,완벽보다 실행이 낫다.
중요한 사람 관계 인간관계 이순간 인생,세상에서 가장 중요한 때는 지금 이 순간이고 가장 중요한 사람은 지금 함께 있는 사람이고 가장 중요한 일은 내 곁에 있는 사람을 위해 좋은 일을 하는 것이다. 톨스토이
마음 사람 관계 인간관계,"토끼를 잡으려면 귀를 잡아야 하고, 고양이는 목덜미를 잡아야 한다. 사람을 잡으려면 마음을 잡아야 한다."
자기애 자기만족 자신 행복 믿음 마인드 태도,"재능을 어떻게 생각하느냐에 따라 달라진다고 생각해요. 이 그림으로 누군가에게 감동을 준다면 그것도 재능이지만, 자기가 하는일을 통해 행복할 수 있다면 그것도 재능이거든요. 스스로 행복할 수 있는 능력."
선택 집중 포기 끈기 인내 의지 의욕 태도,포기하는 것은 도망치는 것이 아니라 '선택과 집중'을 하는 것을 말한다.
도전 꾸준 실패 인내 실행 실천 행동 용기,당신에게 지금 실패가 있다면 감격해도 좋다. 꾸준히 무엇인가에 도전하고 있다는 증거기 때문이다.
겸손 좌절 절망 위로 용기 우울 슬프 슬픈,가진 것보다 과한 칭찬이 오면 내것이 아니니 기뻐하지 말라. 또 과한 비난이 오더라도 역시 내것이 아니니 흔들리지 말라.
강점 장점 단점 행복 축복 위로 응원 긍정,자신의 약점이 아닌 강점에 집중하세요. 자신의 평판이 아니라 성격에 집중하세요. 자신의 불행이 아니라 축복에 집중하세요. 로이 베넷
행동 실천 실행 시작 두려움 불안 고민,누군가가 나에게 꽃을 가져다줄 때까지 기다리지 마세요. 당신만의 정원을 만들고 당신만의 영혼을 가꾸세요. 오쇼
